model,train_size,runs,train_pool_size,test_size,n_restarts,n_successful_restarts_mean,n_failed_restarts_mean,accuracy_mean,accuracy_std,brier_mean,brier_std,final_train_nll_mean,final_train_nll_std,final_kf_mean,final_kf_std,train_time_med,infer_time_med,lbfgs_iterations_med
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",50,10,500.0,9500.0,16.0,16.0,0.0,0.6887894736842106,0.049364150241084,0.25501070045076313,0.04508472189780554,4.74880690574646,0.20459579898187694,0.3331426948515533,0.0780513127565683,2.883007287979126,0.0058907270431518555,51.5
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",100,10,500.0,9500.0,16.0,16.0,0.0,0.8039368421052633,0.029674304680380997,0.15136937200862438,0.025605971116597792,4.584882402420044,0.10183368523016005,0.6942887859759846,0.08335155985730142,4.48919415473938,0.010334014892578125,45.0
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",300,10,500.0,9500.0,16.0,16.0,0.0,0.8962,0.00829324800364636,0.0741279599197888,0.00622786634776126,4.408291292190552,0.08624426932234677,0.9038282986540194,0.025644717150114505,6.482006192207336,0.03379368782043457,33.0
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",500,10,500.0,9500.0,16.0,16.0,0.0,0.9101157894736842,0.0078590930254399,0.06471746964083666,0.005442187671558548,4.273742771148681,0.04286351014614729,0.9353716545586334,0.02089191567030326,12.9561026096344,0.06377935409545898,31.0
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",50,10,500.0,9500.0,16.0,16.0,0.0,0.6844105263157895,0.054928106009526516,0.2657612776388781,0.05290855516180267,4.561367988586426,0.1394453227817419,0.35032294326430435,0.05741106620357264,8.081762909889221,0.027507305145263672,87.5
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",100,10,500.0,9500.0,16.0,16.0,0.0,0.7704631578947368,0.04239584525251599,0.1846781969118809,0.039264008608969475,4.554222869873047,0.11030273175081504,0.7160970945032539,0.0575225216955336,9.141092777252197,0.04431021213531494,92.5
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",300,10,500.0,9500.0,16.0,16.0,0.0,0.8793052631578947,0.004507973169741311,0.08847001717670658,0.003456055587651342,4.447983646392823,0.08232689044410789,0.8982353416546793,0.03364889069612541,31.27820086479187,0.14214158058166504,83.5
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",500,10,500.0,9500.0,16.0,16.0,0.0,0.8934631578947367,0.0077395985064828325,0.07817037709231131,0.005937109612588126,4.331191539764404,0.04917364989507095,0.9406081137096004,0.0156299806983972,74.79039001464844,0.24157536029815674,76.0
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",50,10,500.0,9500.0,16.0,16.0,0.0,0.7043894736842106,0.04128833370895078,0.2447433591555666,0.03990018784853108,4.578183794021607,0.14807207155345375,0.3232996099595749,0.0945162266308525,6.755487322807312,0.0030039548873901367,125.0
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",100,10,500.0,9500.0,16.0,15.6,0.4,0.7567473684210526,0.03615109531990093,0.19800749029487472,0.0326726101613674,4.570723628997802,0.12406827557975733,0.6379518740344157,0.07521594441807487,6.51371967792511,0.009946942329406738,115.5
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",300,10,500.0,9500.0,16.0,16.0,0.0,0.8530631578947367,0.013585831701536263,0.11086704111096146,0.010542055282019633,4.509803390502929,0.08621303921558104,0.894394713259909,0.02258294310028745,9.346879839897156,0.0288693904876709,81.5
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",500,10,500.0,9500.0,16.0,16.0,0.0,0.8735473684210525,0.009524755130473213,0.09503474580434697,0.007460429406474038,4.403596210479736,0.06479786665876659,0.9410949064751998,0.010392580782396538,15.335637211799622,0.05340695381164551,62.5
TabPFN Classifier (v2 compatibility),50,10,500.0,9500.0,1.0,1.0,0.0,0.7859157894736841,0.027359863709411958,0.15012952557982262,0.014564154344304834,0.27224996894382175,0.10317528929562876,,,0.12279641628265381,2.533928871154785,
TabPFN Classifier (v2 compatibility),100,10,500.0,9500.0,1.0,1.0,0.0,0.8152842105263158,0.011262097561719565,0.12865116936829832,0.006106973529596086,0.1897017485620221,0.055689054267989604,,,0.12353837490081787,2.62643039226532,
TabPFN Classifier (v2 compatibility),300,10,500.0,9500.0,1.0,1.0,0.0,0.8731473684210526,0.010883693586647307,0.08864260038374819,0.007172052678387606,0.10410914731583254,0.03151843207949582,,,0.12682390213012695,2.944071054458618,
TabPFN Classifier (v2 compatibility),500,10,500.0,9500.0,1.0,1.0,0.0,0.900157894736842,0.005379818196637381,0.07105292558577614,0.0031867984146492097,0.051681089704518034,0.018983832734561085,,,0.1286994218826294,3.221400260925293,
TabPFN Classifier (v2.5 default),50,10,500.0,9500.0,1.0,1.0,0.0,0.7383578947368421,0.04347500670573864,0.17253598357373034,0.021480057851588606,0.24073331529708758,0.10832078857266329,,,0.15419387817382812,2.82255220413208,
TabPFN Classifier (v2.5 default),100,10,500.0,9500.0,1.0,1.0,0.0,0.8015578947368421,0.014475867990492955,0.13672206355844765,0.009231163221663365,0.14796429278489615,0.037449422879889685,,,0.1576918363571167,2.873939871788025,
TabPFN Classifier (v2.5 default),300,10,500.0,9500.0,1.0,1.0,0.0,0.8716105263157894,0.009888270874757746,0.09012900751992993,0.0060615426646625625,0.10212068405438621,0.023591364110559114,,,0.1590362787246704,3.0697044134140015,
TabPFN Classifier (v2.5 default),500,10,500.0,9500.0,1.0,1.0,0.0,0.8931157894736842,0.005507363771301922,0.07533413999467556,0.0029152531972296706,0.06369477640164754,0.016733303202558947,,,0.202978253364563,3.379401683807373,
